nama_berkas,split,kelompok_sumber,dasar_klasifikasi,ekstensi
-3163ca687f_jpg.rf.ccjchxzodm0rACM8v8Mw.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
-_200626220003-827-1_jpg.rf.NBiOJ28pPTBTP8b7SUUw.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
-_57_jpg.rf.Rl9E7Xo7wPDCwMA6Kmyw.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
-c7cae33d7d_jpg.rf.KMuFwRLy2IX8rntALXw4.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
-e38a6febcc_jpg.rf.2skMY6FWTJYInGTKmxps.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
-f6070acc85_jpg.rf.UQYD5ome92lnEchrMnnq.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
0000147617-e4eb190337827f8bbbcc9317d_jpg.rf.s0aluoQHE3XMNRThAgYp.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
0000161190-eff4a7d6440628a6ed58e9d9a_jpg.rf.K9KZavCD3OWsUKFlMavf.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
0046490bus1780x390_jpg.rf.4X2sb1dVqwi3z3js8BTJ.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
010_LS25_jpg.rf.kbnxvBAmVuTJ5fwJ54Up.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
013877-1-lg_jpg.rf.hQfy6f5auJqRzGwNcnZ9.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
018_jpg.rf.0XFeoyZQ48aVSPqgpeqq.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
031213065446_jpg.rf.KoL0iGXEo17dLpmiBktF.jpg,train,web_katalog,tidak cocok pola CCTV mana pun (citra web/katalog),.jpg
