klaster_id,ukuran_klaster,split,berkas
0,177,train,frame_000000_png.rf.xtqVE7sTOWfvLFjxsB3D.jpg
0,177,train,frame_000020_png.rf.5mkM41sdrkVBctW3daqe.jpg
0,177,train,frame_000040_png.rf.PjwpjQrCYTwf26lfgMT2.jpg
0,177,train,frame_000060_png.rf.aSSTwA99SYHGSgytNxam.jpg
0,177,train,frame_000080_png.rf.UFFqTIz5VwxBCqYEA3hB.jpg
0,177,train,frame_000100_png.rf.YEUXwzISBP5VWQyxDzcV.jpg
0,177,train,frame_000120_png.rf.THIkBS8OEKBsdjPihdrE.jpg
0,177,train,frame_000140_png.rf.Fzn54Wra1S6XMjcsuX5a.jpg
0,177,train,frame_000160_png.rf.kzd2Zubh2wtFOeY1J0dn.jpg
0,177,train,frame_000180_png.rf.a54iAb8bh6LA3gjRMpiH.jpg
0,177,train,frame_000200_png.rf.p6pJ341qFrMOCPdv8I8C.jpg
0,177,train,frame_000220_png.rf.YdUJaxS23twP79QwgqLJ.jpg
0,177,train,frame_000240_png.rf.AaUnpyAoi5NJrvNM29XD.jpg
0,177,train,frame_000260_png.rf.NZ1U03VENTGKoTluNgsu.jpg
0,177,train,frame_000280_png.rf.DpBiCDi1dfTPFGkGdtV5.jpg
0,177,train,frame_000300_png.rf.P8eVjcQMVAXWa4OwAgzj.jpg
0,177,train,frame_000320_png.rf.SVswEHPPQvmMY83SmbAE.jpg
0,177,train,frame_000340_png.rf.UozJMIolyTcyB9Y08Q6o.jpg
0,177,train,frame_000360_png.rf.4ZeMhsl0nkHQVHPZ5Ikx.jpg
0,177,train,frame_000380_png.rf.bbt5XgP44OS4ynYCYabk.jpg
0,177,train,frame_000400_png.rf.0DtvDArjsrk6vmA0uErw.jpg
0,177,train,frame_000420_png.rf.fTLWMf80Qifp6UmtYvUK.jpg
0,177,train,frame_000440_png.rf.GV5CIZfLtnaTOypcNDlM.jpg
0,177,train,frame_000460_png.rf.QgYElsIjOCzExK078OVP.jpg
0,177,train,frame_000480_png.rf.1KXC0wS1OYznlRA3eS0Z.jpg
0,177,train,frame_000500_png.rf.NsdnZ5OGuIByBZ6ZYQXX.jpg
0,177,train,frame_000520_png.rf.yIolLS22uIFR8DLoGcX8.jpg
0,177,train,frame_000540_png.rf.wMjM4YC4yEu8nW2GTE3q.jpg
0,177,train,frame_000560_png.rf.qQUEm43rsVTHeTop8bPP.jpg
0,177,train,frame_000580_png.rf.GpcX5ROaR8RbGmLiOe7N.jpg
0,177,train,frame_000600_png.rf.5mrXO2xVzKVBkb2vPFZE.jpg
0,177,train,frame_000620_png.rf.itH6N29Q4RcOOa0BP5MQ.jpg
0,177,train,frame_000640_png.rf.oTzzl9RBvlam3rRq2Dpr.jpg
0,177,train,frame_000660_png.rf.GSj9CHIRicrzL9vTdoQ7.jpg
0,177,train,frame_000680_png.rf.PPx8KI8o4ejS5QB5eZG5.jpg
0,177,train,frame_000700_png.rf.V5jOJGNaGt33THtojsM9.jpg
0,177,train,frame_000720_png.rf.2fwPXMTNspv0Y6h9jgMt.jpg
