interval,class,direction,count
0,big-vehicle,in,2
0,big-vehicle,out,0
0,car,in,34
0,car,out,0
0,two-wheeler,in,70
0,two-wheeler,out,0
1,big-vehicle,in,4
1,big-vehicle,out,0
1,car,in,18
1,car,out,0
1,two-wheeler,in,53
1,two-wheeler,out,0
2,big-vehicle,in,1
2,big-vehicle,out,0
2,car,in,25
2,car,out,0
2,two-wheeler,in,26
2,two-wheeler,out,0
3,big-vehicle,in,3
3,big-vehicle,out,0
3,car,in,16
3,car,out,0
3,two-wheeler,in,55
3,two-wheeler,out,0
4,big-vehicle,in,4
4,big-vehicle,out,0
4,car,in,36
4,car,out,0
4,two-wheeler,in,60
4,two-wheeler,out,0
5,big-vehicle,in,1
5,big-vehicle,out,0
5,car,in,37
5,car,out,0
5,two-wheeler,in,70
5,two-wheeler,out,0
6,big-vehicle,in,1
6,big-vehicle,out,0
6,car,in,28
6,car,out,0
6,two-wheeler,in,58
6,two-wheeler,out,0
7,big-vehicle,in,2
7,big-vehicle,out,0
7,car,in,29
7,car,out,0
7,two-wheeler,in,60
7,two-wheeler,out,0
8,big-vehicle,in,2
8,big-vehicle,out,0
8,car,in,39
8,car,out,0
8,two-wheeler,in,76
8,two-wheeler,out,0
9,big-vehicle,in,1
9,big-vehicle,out,0
9,car,in,41
9,car,out,0
9,two-wheeler,in,79
9,two-wheeler,out,0
