interval,class,direction,count
0,big-vehicle,in,1
0,big-vehicle,out,0
0,car,in,4
0,car,out,3
0,two-wheeler,in,7
0,two-wheeler,out,9
1,big-vehicle,in,1
1,big-vehicle,out,1
1,car,in,10
1,car,out,5
1,two-wheeler,in,5
1,two-wheeler,out,8
2,big-vehicle,in,2
2,big-vehicle,out,4
2,car,in,4
2,car,out,5
2,two-wheeler,in,6
2,two-wheeler,out,12
3,big-vehicle,in,0
3,big-vehicle,out,2
3,car,in,6
3,car,out,7
3,two-wheeler,in,12
3,two-wheeler,out,4
4,big-vehicle,in,1
4,big-vehicle,out,0
4,car,in,2
4,car,out,2
4,two-wheeler,in,7
4,two-wheeler,out,8
5,big-vehicle,in,1
5,big-vehicle,out,5
5,car,in,10
5,car,out,3
5,two-wheeler,in,5
5,two-wheeler,out,6
6,big-vehicle,in,3
6,big-vehicle,out,2
6,car,in,0
6,car,out,2
6,two-wheeler,in,3
6,two-wheeler,out,10
7,big-vehicle,in,4
7,big-vehicle,out,4
7,car,in,3
7,car,out,10
7,two-wheeler,in,5
7,two-wheeler,out,6
8,big-vehicle,in,2
8,big-vehicle,out,6
8,car,in,6
8,car,out,4
8,two-wheeler,in,9
8,two-wheeler,out,5
9,big-vehicle,in,0
9,big-vehicle,out,2
9,car,in,15
9,car,out,9
9,two-wheeler,in,8
9,two-wheeler,out,10
