peringkat,nama_berkas,split,skor
1,-3163ca687f_jpg.rf.ccjchxzodm0rACM8v8Mw.jpg,train,0.0000
2,-c7cae33d7d_jpg.rf.KMuFwRLy2IX8rntALXw4.jpg,train,0.0000
3,-e38a6febcc_jpg.rf.2skMY6FWTJYInGTKmxps.jpg,train,0.0000
4,-f6070acc85_jpg.rf.UQYD5ome92lnEchrMnnq.jpg,train,0.0000
5,0000161190-eff4a7d6440628a6ed58e9d9a_jpg.rf.K9KZavCD3OWsUKFlMavf.jpg,train,0.0000
6,0046490bus1780x390_jpg.rf.4X2sb1dVqwi3z3js8BTJ.jpg,train,0.0000
7,013877-1-lg_jpg.rf.hQfy6f5auJqRzGwNcnZ9.jpg,train,0.0000
8,018_jpg.rf.0XFeoyZQ48aVSPqgpeqq.jpg,train,0.0000
9,031213065446_jpg.rf.KoL0iGXEo17dLpmiBktF.jpg,train,0.0000
10,031213082113_jpg.rf.GPbsRn023cYNGve7V7a5.jpg,train,0.0000
11,077006000_1466184933-kepala_kuning_jpg.rf.ut2EPnAV6KYmeFdZgdYH.jpg,train,0.0000
12,07bus-service2_jpg.rf.iviHNzCUeFZDj7zifxPe.jpg,train,0.0000
13,1048309-1000xauto-bus-klub-indonesia_jpg.rf.rTX8N391lugPT5hgHUrX.jpg,train,0.0000
14,10486057103_d8a7fd109b_b_jpg.rf.oLCjUNV5aNU5SZgcO7yH.jpg,train,0.0000
15,1131506fuso1780x390_jpg.rf.N898UbrjOPzEn56mq7w0.jpg,train,0.0000
16,12745909_911990905563681_71866727339_jpg.rf.Z5KEZ6gFdgw25kuyrtuW.jpg,train,0.0000
17,12988780_MTAwMC03OTUtYTcxNGRiOGUwZQ_jpg.rf.8lz0Os79I8z4nGjMI4kv.jpg,train,0.0000
18,1365-_jpg.rf.51misGtBLzUj4L1RdowA.jpg,train,0.0000
19,13661875-825756007524474-53594221530_jpg.rf.YICOgtrQYHvuMjUm5UEj.jpg,train,0.0000
20,1559104773084_png_jpg.rf.aFpcCAI8oS558FuPu3MJ.jpg,train,0.0000
21,15690333345d858c76c4523_1--2-_jpeg_jpg.rf.l2tvZ6trUIEKQUklvGSb.jpg,train,0.0000
22,15832118185e5de52ab6203_1_jpeg_jpg.rf.T0A6AkfOITDe1L8Wn5BZ.jpg,train,0.0000
23,15838034105e66ec12e5fcb_1_jpeg_jpg.rf.BSlt567alkRUPxeQZojk.jpg,train,0.0000
24,1585052231_bigbus1-jpg_jpg.rf.pMFic0kBiXvPwpAByovH.jpg,train,0.0000
25,15865708705e912676c62ec_1_jpeg_jpg.rf.xvV6ax3p5qn5dT0PYG5R.jpg,train,0.0000
26,1598286031-20130714_082914-1024x768_jpg.rf.HpX39XFfCmkCvPKAOrJL.jpg,train,0.0000
27,1606141526137-damri_jpg.rf.gpCa5CIbpzogYW15YADm.jpg,train,0.0000
28,16095712995ff01be38f194_1_jpeg_jpg.rf.3y2DpzHoVO0YY96FdUc2.jpg,train,0.0000
29,16100655265ff7a67692bbe_1_jpeg_jpg.rf.jbuCbA2ONRnP3Pj4v7Xp.jpg,train,0.0000
30,16106091855ffff2217285d_1--2-_jpeg_jpg.rf.fYYIeGDzvgk414Ivx1tc.jpg,train,0.0000
31,1613083111_jpg.rf.FYc1RBOB2E6jykBDZkzg.jpg,train,0.0000
32,161483562560406fa90b7d6_1_jpeg_jpg.rf.aAtkmmDLtKcoH0V5zq8T.jpg,train,0.0000
33,1616649101605c1b8d5bded_1_jpeg_jpg.rf.SKW4WB0ZJZOWxCiY35Pk.jpg,train,0.0000
34,171_jpg.rf.R0bhkNqFON0xLBaOIePV.jpg,train,0.0000
35,17828_5789ACS01_2_jpg.rf.hIyHP5yUmWhxWu180ccK.jpg,train,0.0000
36,17828_5789AHS01_17-1_jpg.rf.2kkA48uFTbarb4DwAy0D.jpg,train,0.0000
37,17828_6080AFS01_7-1_jpg.rf.K1xPhAVcmkfLVs9J9HE5.jpg,train,0.0000
38,1839353249_jpg.rf.J9KnzlTZ9MoKsyskIzC1.jpg,train,0.0000
39,184-07_jpg.rf.htxoGssoBtMcM3xkTmik.jpg,train,0.0000
40,19575a5n4f_jpg.rf.8v4JuMitQiOzLrKFntd1.jpg,train,0.0000
41,1986-Mitsubishi-FM_34050076-l_jpg.rf.O0dYSjOSS6g1kkgrZqx1.jpg,train,0.0000
42,1990-mitsubishi-fuso-fk-flatbed-dump_jpg.rf.KKYYPXfvPjYSuUmCe39E.jpg,train,0.0000
43,1992-Mitsubishi-FUSO-Fighter-private_jpg.rf.9bXq0p3ezO2s4JjNoQYO.jpg,train,0.0000
44,1997-mitsubishi-fuso-fh211-20-ft-box_jpg.rf.Wm81SW7P5tHqXwYm0hDq.jpg,train,0.0000
45,1997_mitsubishi_fuso_cab_over_box_tr-1_jpg.rf.vqv9kOhwQp6YIe7km51K.jpg,train,0.0000
46,1BCE466D-FE13-4738-8CE1-752980A1622F_jpg.rf.gn4m5u6D7ZFwvuMYDnp7.jpg,train,0.0000
47,2000-Mitsubishi-Fuso-68-3886156_1_jpg.rf.4FzKh1VxVEP0LPmX49KU.jpg,train,0.0000
48,2000-mitsubishi-fuso-fe639-diesel-bo_jpg.rf.TZR3LLyLsLACQFJyb0yA.jpg,train,0.0000
49,2000-mitsubishi-fuso-fm617-box-truck_jpg.rf.3OTDeaA86X2KCXOTT0P6.jpg,train,0.0000
50,2001-mitsubishi-fuso-fe649-diesel-11_jpg.rf.srgUPJXpGFv5FEFnEIoY.jpg,train,0.0000
51,2003-mitsubishi-fuso-box-truck-26253_jpg.rf.l1ogXMrGVTRvrrx78MjH.jpg,train,0.0000
52,2004-mitsubishi-fh-fuso-cab-and-chas_jpg.rf.83vgQYzkhXqeLr1xM6ZW.jpg,train,0.0000
53,2004-mitsubishi-fuso-box-van-body-tr_jpg.rf.0v9mW8Me26uMdTbWqh2P.jpg,train,0.0000
54,2005-mitsubishi-fuso-fm260-24ft-box-_jpg.rf.eLhWYXBLiNHq4I2Ol53t.jpg,train,0.0000
55,2006-mitsubishi-fuso-fe140-16-box-tr_jpg.rf.1cDjGxItqxSHjNc4Uz0x.jpg,train,0.0000
56,2006-mitsubishi-fuso-fm260-cars-in-r_jpg.rf.3atklsmzhmxLL5N5NR4G.jpg,train,0.0000
57,2007-Mitsubishi-Fuso-Fighter-FK600_5_jpg.rf.l0JgCJbrJnD1bvfff3lI.jpg,train,0.0000
58,2007-mitsubishi-fuso-fe-140-landscap-1_jpg.rf.2H3LFOLObnUYwhCOjvmZ.jpg,train,0.0000
59,2007-mitsubishi-fuso-fk200-24ft-box-1_jpg.rf.GMxQ4Fv1KTOJ4etH2Uv9.jpg,train,0.0000
60,2008-mitsubishi-fuso-wrecker-tow-tru-1_jpg.rf.I1CDQwYMLSGDAbJZXOoC.jpg,train,0.0000
61,2010-mitsubishi-fuso-26-ft-box-truck_jpg.rf.gLkMggl9JGv8uMVLSbxR.jpg,train,0.0000
62,2010-mitsubishi-fuso-fe145-12ft-box-1_jpg.rf.GwEj4du5UasAfa42SrnG.jpg,train,0.0000
63,2010-mitsubishi-fuso-fe145-12ft-box-_jpg.rf.6Dbn8wUOhxgWWYT395GE.jpg,train,0.0000
64,2012-04-08-16-00-45-Copy_jpg.rf.02b6N8bLxDTpJCEozUAg.jpg,train,0.0000
65,2012-05-19-14-47-41_jpg.rf.vjpiYoSsxruWcoMaD6Hp.jpg,train,0.0000
66,2012-06-04-13-47-36_jpg.rf.aMrMcIDXuHNzsLnjcYZE.jpg,train,0.0000
67,2012-11-26-09-11-19-2_jpg.rf.drvtCAjDDjNn4hZpqv9u.jpg,train,0.0000
68,2012-mitsubishi-fuso-canter-fe160-du_jpg.rf.KN2GdacMBih2T69Z5JQB.jpg,train,0.0000
69,20121009_123807_jpg.rf.udycMpIEfYtaNUUr9UNJ.jpg,train,0.0000
70,2013-05-28-07-36-09_jpg.rf.dAbM8ikGnbXcIWulDqGY.jpg,train,0.0000
71,2013-Mitsubishi-18ft-Refrigerated-Va_jpg.rf.t4FWBweHRDzyUVyuPQin.jpg,train,0.0000
72,2013-Mitsubishi-Fuso-Canter-7C15-PBU_jpg.rf.SUCGbB0dy3QxoHzttisQ.jpg,train,0.0000
73,20130601_104548_jpg.rf.JLdU4c6rrlp5m7MObF1y.jpg,train,0.0000
74,20130712092311711_jpg.rf.ZtJTDFnzeDgNvHGno8Uq.jpg,train,0.0000
75,2014-mitsubishi-fuso-fe160-14-feet-b_jpg.rf.KAOwU6jvjKscwC0DxTVq.jpg,train,0.0000
76,2015-Mitsubishi-Fuso-Canter-7C15-4x2-1_jpg.rf.aLDkqGlvJyz4HE9K8Pf5.jpg,train,0.0000
77,2015-mitsubishi-fuso-fe180-dual-tech_jpg.rf.cSEYZkb6aM7ryCigTIRa.jpg,train,0.0000
78,2016_Pink_Bus_Side_2-5694faf30153d_jpg.rf.kQ8BeC9Kzuhj3DV2Qav4.jpg,train,0.0000
79,201707170712_fuso-1024x512_jpg.rf.fNXAmII2Z4oWzIEdt7ya.jpg,train,0.0000
80,20170820170814udtrucks-2-1024x542_jpg.rf.1Qwsuhe5wfd9Bs1jjdQW.jpg,train,0.0000
81,20170820170831fuso-1-1024x674_jpg.rf.eGhYZlpjprueen9n47v9.jpg,train,0.0000
82,20171120171117volvo-2_jpg.rf.TegkjqZ9J0MGuHkIijO5.jpg,train,0.0000
83,201802153766039_jpg.rf.I7QSd1kiuyHuwBgfDzjj.jpg,train,0.0000
84,201811212628734_jpg.rf.pVlyuVr8vSlEmgKTW7SY.jpg,train,0.0000
85,201907180193097_jpg.rf.XVuO6qh8y0UtINaidkGH.jpg,train,0.0000
86,201908291631929_jpg.rf.1mBuvFFkxuAHzO72SVDj.jpg,train,0.0000
87,201910022856907_jpg.rf.Tve5URmM5odQL6PgJPLw.jpg,train,0.0000
88,201911134318402_jpg.rf.rnY5YufBAcfdsshXa44k.jpg,train,0.0000
89,201911274791996_jpg.rf.xb7UlcMQjh9IJ41WhunS.jpg,train,0.0000
90,201912065091481_jpg.rf.uUpsPyVAQvoQF10uFgYV.jpg,train,0.0000
91,202001065830933_jpg.rf.68mCIVULSN8X3R2EiFio.jpg,train,0.0000
92,202001316814739_jpg.rf.DhSFdt3FOw2Ld4pSWGkB.jpg,train,0.0000
93,202002056988643_jpg.rf.NWiBf39bKhyJAVQh7G2G.jpg,train,0.0000
94,202002197506403_jpg.rf.XiFDHKjZYbjbbzyiXbv3.jpg,train,0.0000
95,202003278769684_jpg.rf.e7C6opzCc5c4pIWBceJI.jpg,train,0.0000
96,202004098907520_jpg.rf.zBDTjgtYwSh9faxxqosa.jpg,train,0.0000
97,202005159339270_jpg.rf.rxaCWjlWyMJs5WNJG02d.jpg,train,0.0000
98,202005179380063_jpg.rf.qQKig5CDzcFrthahQSw0.jpg,train,0.0000
99,202005209438910_jpg.rf.PsvdSfiIDtOiDlC4Cx5E.jpg,train,0.0000
100,202006029718364_jpg.rf.MgVQIxQ7lnNjHpY0PgPy.jpg,train,0.0000
101,202006230427756_jpg.rf.HWAdkNuafgLLvUBxG7NO.jpg,train,0.0000
102,202009224056905_jpg.rf.NrV1u0Lc4GNUgTyVY9wk.jpg,train,0.0000
103,202009294341174_jpg.rf.PnzivErZgHnZ0YkS0QjR.jpg,train,0.0000
104,202010034560843_jpg.rf.2vDmzfZx6LOEfleCF3j3.jpg,train,0.0000
105,202010054625092_jpg.rf.NKYG9N7HXWTVMLidXI7e.jpg,train,0.0000
106,202010124912669_jpg.rf.RPjHymC5lZwDGZ1GOVMU.jpg,train,0.0000
107,202010225303345_jpg.rf.wsJ9GTjQhsT7lM2iZY1F.jpg,train,0.0000
108,202010275477424_jpg.rf.2k4RPHRxCAHkWJeg7VbI.jpg,train,0.0000
109,202010285539616_jpg.rf.jem2zOnjqQxzSUgXRTMW.jpg,train,0.0000
110,202010315642930_jpg.rf.yprPbS4NbVPQC66MthmV.jpg,train,0.0000
111,202011105965869_jpg.rf.gpnrb3yJAVAy5bs3KHx9.jpg,train,0.0000
112,202011146111399_jpg.rf.9dllAWO2bi5IMzauH9UE.jpg,train,0.0000
113,202011166161501_jpg.rf.tNGutm3PeRxJDtIwvd6g.jpg,train,0.0000
114,202011246441650_jpg.rf.8v7G4jzFEBa6GmhRyIHD.jpg,train,0.0000
